"DATE","Demand_Shocks","Supply_Shocks","Risk_Shocks","NSE AUTO","NSE BANK","NSE ENERGY","NSE FIN","NSE FMCG","NSE IT","NSE MED","NSE MET","NSE PHARMA"
2008-03-26,-1.557222482,1.798732357,-3.229105813,0.004245958,-0.003672793,-0.009195106,0.002740228,0.001038509,-0.000130495,0.006140069,0.001021522,-0.011836093
2008-03-27,-0.963381061,-1.796762039,-6.195728542,-0.01038791,-0.021289444,-0.004790674,-0.015225724,0.015622494,-0.025045353,-0.009655104,-0.001976507,0.017755833
2008-03-28,0.711387496,-3.064742169,-4.61520068,0.01415595,0.009835995,0.025743976,0.007292494,0.01612211,0.045407084,0.046399235,0.044672504,0.012923518
2008-03-31,2.382192394,-1.113784628,6.767230084,-0.012064985,-0.054398716,-0.045190959,-0.065470936,-0.017082768,-0.051156299,0.002567073,-0.046525345,-0.00945397
2008-04-01,0.743557884,3.338306342,0.443076504,-0.00950794,-0.007047333,0.022952462,-0.009646425,0.019939083,-0.008124266,-0.007522464,-0.016400263,-0.007560236
2008-04-02,0.083803639,-0.801103735,1.688727427,0.010620401,0.024908824,-0.001359089,0.024165796,-0.008131493,0.023211832,-0.008012136,-0.022292959,0.009878404
2008-04-03,0.393041042,2.080553379,1.499284045,-0.009099467,-0.003927533,0.010607348,-0.004127608,0.012930148,0.032591785,-0.010203752,0.003823152,0.007352515
2008-04-04,0.243419793,2.544846459,1.530090038,-0.022149827,-0.029787581,-0.022987949,-0.035545219,-0.016379913,-0.020887527,-0.018947781,-0.017909612,-0.009872727
2008-04-07,0.929466673,-0.650242311,4.726393548,0.011520624,0.043887459,0.01924298,0.036354467,0.041252268,0.023832071,0.002312325,0.025197322,0.022070478
2008-04-08,0.592338609,2.354727992,-2.947647805,-0.003711461,0.004434752,-0.009453094,0.003557268,-0.003893007,-0.015980679,-0.001864402,-0.025853755,-0.003258635
2008-04-09,-0.982658462,-1.049963787,3.303718604,-0.000958553,0.028684046,0.010610904,0.026936671,-0.006846376,-0.000874674,0.001729317,0.013395494,0.01001576
2008-04-10,1.950645951,3.7859565,-4.543602153,-0.002338716,-0.026446445,0.009023077,-0.020916258,-0.006734642,-0.000195994,-0.001848061,0.006089767,-0.007071314
2008-04-15,2.796138595,0.676545085,1.074232207,0.012092566,0.006387452,0.042008591,0.008759208,0.011635524,0.054131054,0.003309386,0.013868795,0.026610986
2008-04-16,-0.557569883,-0.730006405,5.15854065,0.00174929,0.005081866,0.00047088,0.006407149,0.0037647,0.031515001,-0.00582343,0.007490926,0.000335455
